year,material,region,recycling_rate,remanufacturing_rate,disposal_rate
1870,nickel,China,0.0207923147562189,0.02,0.9592076852437812
1870,nickel,EU27,0.0197469129506676,0.02,0.9602530870493324
1870,nickel,RoW,0.0158620373897697,0.02,0.9641379626102302
1870,tin,China,0.0126864166268565,0.02,0.9673135833731434
1870,tin,EU27,0.014727838244996,0.02,0.965272161755004
1870,tin,RoW,0.0148858734003737,0.02,0.9651141265996264
1870,zinc,China,0.0202867723640882,0.02,0.9597132276359116
1870,zinc,EU27,0.0165834126364055,0.02,0.9634165873635944
1870,zinc,RoW,0.0141371078831793,0.02,0.9658628921168206
1871,nickel,China,0.0218255585482537,0.02,0.9581744414517462
1871,nickel,EU27,0.0207282070228934,0.02,0.9592717929771064
1871,nickel,RoW,0.0166502782303959,0.02,0.963349721769604
1871,tin,China,0.0133168496198423,0.02,0.9666831503801576
1871,tin,EU27,0.0154597167113983,0.02,0.9645402832886016
1871,tin,RoW,0.0156256051936005,0.02,0.9643743948063994
1871,zinc,China,0.0212948939634089,0.02,0.9587051060365912
1871,zinc,EU27,0.01740750116903,0.02,0.96259249883097
1871,zinc,RoW,0.0148396308648138,0.02,0.965160369135186
1872,nickel,China,0.0229084395829364,0.02,0.9570915604170636
1872,nickel,EU27,0.0217566426626249,0.02,0.9582433573373752
1872,nickel,RoW,0.0174763863218805,0.02,0.9625236136781194
1872,tin,China,0.0139775687424787,0.02,0.9660224312575212
1872,tin,EU27,0.0162267547686984,0.02,0.9637732452313016
1872,tin,RoW,0.0164008738531484,0.02,0.9635991261468516
1872,zinc,China,0.0223514459301121,0.02,0.9576485540698878
1872,zinc,EU27,0.0182711790829529,0.02,0.961728820917047
1872,zinc,RoW,0.0155759031938664,0.02,0.9644240968061336
1873,nickel,China,0.0240431691429261,0.02,0.9559568308570738
1873,nickel,EU27,0.0228343199730342,0.02,0.9571656800269658
1873,nickel,RoW,0.0183420486071462,0.02,0.9616579513928536
1873,tin,China,0.0146699232073672,0.02,0.9653300767926328
1873,tin,EU27,0.0170305187366493,0.02,0.9629694812633508
1873,tin,RoW,0.0172132625059614,0.02,0.9627867374940384
1873,zinc,China,0.0234585857819378,0.02,0.9565414142180622
1873,zinc,EU27,0.0191762100400476,0.02,0.9608237899599524
1873,zinc,RoW,0.0163474283653488,0.02,0.9636525716346512
1874,nickel,China,0.0252320394815213,0.02,0.9547679605184788
1874,nickel,EU27,0.0239634159568687,0.02,0.9560365840431312
1874,nickel,RoW,0.0192490137999825,0.02,0.9607509862000174
1874,tin,China,0.0153953116312906,0.02,0.9646046883687094
1874,tin,EU27,0.0178726322890072,0.02,0.9621273677109928
1874,tin,RoW,0.0180644122484159,0.02,0.961935587751584
1874,zinc,China,0.0246185500385526,0.02,0.9553814499614474
1874,zinc,EU27,0.0201244222822758,0.02,0.959875577717724
1874,zinc,RoW,0.0171557649278186,0.02,0.9628442350721812
1875,nickel,China,0.02647742497364,0.02,0.95352257502636
1875,nickel,EU27,0.0251461856095615,0.02,0.9548538143904384
1875,nickel,RoW,0.0201990932631051,0.02,0.9598009067368948
1875,tin,China,0.0161551827374807,0.02,0.9638448172625192
1875,tin,EU27,0.0187547772688058,0.02,0.9612452227311942
1875,tin,RoW,0.0189560229703437,0.02,0.9610439770296564
1875,zinc,China,0.0258336553445453,0.02,0.9541663446554548
1875,zinc,EU27,0.0211177095496793,0.02,0.9588822904503208
1875,zinc,RoW,0.0180025272659544,0.02,0.9619974727340456
1876,nickel,China,0.0277817830704495,0.02,0.9522182169295504
1876,nickel,EU27,0.0263849628258641,0.02,0.953615037174136
1876,nickel,RoW,0.0211941617364242,0.02,0.9588058382635758
1876,tin,China,0.0169510359380864,0.02,0.9630489640619136
1876,tin,EU27,0.0196786943645497,0.02,0.9603213056354504
1876,tin,RoW,0.0198898540384815,0.02,0.9601101459615184
1876,zinc,China,0.0271062994008456,0.02,0.9528937005991543
1876,zinc,EU27,0.0221580318417684,0.02,0.9578419681582316
1876,zinc,RoW,0.0188893862496266,0.02,0.9611106137503732
1877,nickel,China,0.029147655029288,0.02,0.950852344970712
1877,nickel,EU27,0.0276821610930687,0.02,0.9523178389069312
1877,nickel,RoW,0.0222361578938869,0.02,0.9577638421061132
1877,tin,China,0.0177844217795345,0.02,0.9622155782204654
1877,tin,EU27,0.0206461836272415,0.02,0.9593538163727584
1877,tin,RoW,0.0208677248190452,0.02,0.9591322751809548
1877,zinc,China,0.0284389616768994,0.02,0.9515610383231006
1877,zinc,EU27,0.0232474159996886,0.02,0.9567525840003114
1877,zinc,RoW,0.0198180697301868,0.02,0.9601819302698132
1878,nickel,China,0.0305776663882928,0.02,0.9494223336117072
1878,nickel,EU27,0.0290402739417735,0.02,0.9509597260582264
1878,nickel,RoW,0.0233270847055612,0.02,0.9566729152944388
1878,tin,China,0.0186569422321237,0.02,0.9613430577678762
1878,tin,EU27,0.0216591048065745,0.02,0.9583408951934256
1878,tin,RoW,0.0218915150175307,0.02,0.9581084849824693
1878,zinc,China,0.0298342038737555,0.02,0.9501657961262444
1878,zinc,EU27,0.0243879560847713,0.02,0.9556120439152288
1878,zinc,RoW,0.0207903628631761,0.02,0.9592096371368238
1879,nickel,China,0.0320745271528674,0.02,0.9479254728471326
1879,nickel,EU27,0.0304618751229736,0.02,0.9495381248770264
1879,nickel,RoW,0.024469009579888,0.02,0.955530990420112
1879,tin,China,0.0195702508037972,0.02,0.9604297491962028
1879,tin,EU27,0.0227193774830133,0.02,0.9572806225169866
1879,tin,RoW,0.0229631648122117,0.02,0.9570368351877884
1879,zinc,China,0.0312946701060001,0.02,0.9487053298939998
1879,zinc,EU27,0.0255818135272554,0.02,0.9544181864727446
1879,zinc,RoW,0.0218081082351078,0.02,0.9581918917648922
1880,nickel,China,0.0336410316588019,0.02,0.946358968341198
1880,nickel,EU27,0.0319496184780642,0.02,0.9480503815219358
1880,nickel,RoW,0.0256640642592591,0.02,0.9543359357407408
1880,tin,China,0.0205260524566262,0.02,0.9594739475433738
1880,tin,EU27,0.0238289809708385,0.02,0.9561710190291616
1880,tin,RoW,0.0240846747561434,0.02,0.9559153252438566
1880,zinc,China,0.032823086768205,0.02,0.947176913231795
1880,zinc,EU27,0.0268312170171161,0.02,0.953168782982884
1880,zinc,RoW,0.0228732057704007,0.02,0.9571267942295992
1881,nickel,China,0.0352800580745284,0.02,0.9447199419254716
1881,nickel,EU27,0.0335062374661215,0.02,0.9464937625338784
1881,nickel,RoW,0.0269144444402969,0.02,0.9530855555597032
1881,tin,China,0.0215261033031106,0.02,0.9584738966968892
1881,tin,EU27,0.0249899539655781,0.02,0.955010046034422
1881,tin,RoW,0.0252581054208112,0.02,0.9547418945791888
1881,zinc,China,0.0344222620492844,0.02,0.9455777379507156
1881,zinc,EU27,0.0281384621070757,0.02,0.9518615378929244
1881,zinc,RoW,0.0239876123929522,0.02,0.9560123876070478
1882,nickel,China,0.036994567502666,0.02,0.943005432497334
1882,nickel,EU27,0.0351345443106208,0.02,0.9448654556893792
1882,nickel,RoW,0.0282224090884416,0.02,0.9517775909115584
1882,tin,China,0.0225722100579886,0.02,0.9574277899420114
1882,tin,EU27,0.0262043939076043,0.02,0.9537956060923956
1882,tin,RoW,0.0264855767528989,0.02,0.953514423247101
1882,zinc,China,0.0360950850558864,0.02,0.9439049149441135
1882,zinc,EU27,0.02950591049602,0.02,0.95049408950398
1882,zinc,RoW,0.0251533414152613,0.02,0.9548466585847386
1883,nickel,China,0.038787602638734,0.02,0.941212397361266
1883,nickel,EU27,0.0368374287255863,0.02,0.9431625712744136
1883,nickel,RoW,0.0295902794147108,0.02,0.9504097205852892
1883,tin,China,0.0236662292198496,0.02,0.9563337707801504
1883,tin,EU27,0.0274744560320584,0.02,0.9525255439679416
