year,material,region,value
1870,nickel,China,1880.174821
1870,nickel,EU27,2046.554492
1870,nickel,RoW,2468.753474
1871,nickel,China,1956.91665
1871,nickel,EU27,2130.087328
1871,nickel,RoW,2569.518922
1872,nickel,China,2036.790799
1872,nickel,EU27,2217.029668
1872,nickel,RoW,2674.397245
1873,nickel,China,2119.925117
1873,nickel,EU27,2307.520675
1873,nickel,RoW,2783.556316
1874,nickel,China,2206.452673
1874,nickel,EU27,2401.705192
1874,nickel,RoW,2897.17086
1875,nickel,China,2296.511966
1875,nickel,EU27,2499.733975
1875,nickel,RoW,3015.422732
1876,nickel,China,2390.247148
1876,nickel,EU27,2601.763934
1876,nickel,RoW,3138.501211
1877,nickel,China,2487.808256
1877,nickel,EU27,2707.95838
1877,nickel,RoW,3266.603301
1878,nickel,China,2589.351451
1878,nickel,EU27,2818.487293
1878,nickel,RoW,3399.934048
1879,nickel,China,2695.039265
1879,nickel,EU27,2933.527591
1879,nickel,RoW,3538.706866
1880,nickel,China,2805.040867
1880,nickel,EU27,3053.263411
1880,nickel,RoW,3683.143881
1881,nickel,China,2919.532331
1881,nickel,EU27,3177.886407
1881,nickel,RoW,3833.476284
1882,nickel,China,3038.696916
1882,nickel,EU27,3307.596057
1882,nickel,RoW,3989.944704
1883,nickel,China,3162.725362
1883,nickel,EU27,3442.599977
1883,nickel,RoW,4152.79959
1884,nickel,China,3291.816193
1884,nickel,EU27,3583.114262
1884,nickel,RoW,4322.301614
1885,nickel,China,3426.176038
1885,nickel,EU27,3729.363824
1885,nickel,RoW,4498.722088
1886,nickel,China,3566.019958
1886,nickel,EU27,3881.582756
1886,nickel,RoW,4682.343398
1887,nickel,China,3711.571793
1887,nickel,EU27,4040.014705
1887,nickel,RoW,4873.459455
1888,nickel,China,3863.064519
1888,nickel,EU27,4204.913264
1888,nickel,RoW,5072.376167
1889,nickel,China,4020.740622
1889,nickel,EU27,4376.542377
1889,nickel,RoW,5279.411929
1890,nickel,China,4184.852484
1890,nickel,EU27,4555.17676
1890,nickel,RoW,5494.89813
1891,nickel,China,4355.662789
1891,nickel,EU27,4741.102342
1891,nickel,RoW,5719.179687
1892,nickel,China,4533.444944
1892,nickel,EU27,4934.616723
1892,nickel,RoW,5952.615592
1893,nickel,China,4718.483513
1893,nickel,EU27,5136.02965
1893,nickel,RoW,6195.579494
1894,nickel,China,4911.074677
1894,nickel,EU27,5345.663514
1894,nickel,RoW,6448.46029
1895,nickel,China,5111.526704
1895,nickel,EU27,5563.853861
1895,nickel,RoW,6711.662751
1896,nickel,China,5320.160447
1896,nickel,EU27,5790.949937
1896,nickel,RoW,6985.608169
1897,nickel,China,5537.309853
1897,nickel,EU27,6027.315241
1897,nickel,RoW,7270.735033
1898,nickel,China,5763.322501
1898,nickel,EU27,6273.328108
1898,nickel,RoW,7567.499728
1899,nickel,China,5998.560154
1899,nickel,EU27,6529.382316
1899,nickel,RoW,7876.377268
1900,nickel,China,6243.399344
1900,nickel,EU27,6795.887717
1900,nickel,RoW,8197.862055
1901,nickel,China,6498.23197
1901,nickel,EU27,7073.270889
1901,nickel,RoW,8532.468669
1902,nickel,China,6763.465928
1902,nickel,EU27,7361.975823
1902,nickel,RoW,8880.732696
1903,nickel,China,7039.525762
1903,nickel,EU27,7662.464632
1903,nickel,RoW,9243.211582
1904,nickel,China,7326.853344
1904,nickel,EU27,7975.218291
1904,nickel,RoW,9620.485524
1905,nickel,China,7625.908582
1905,nickel,EU27,8300.737405
1905,nickel,RoW,10013.1584
1906,nickel,China,7937.170157
1906,nickel,EU27,8639.543013
1906,nickel,RoW,10421.85875
1907,nickel,China,8261.136286
1907,nickel,EU27,8992.177422
1907,nickel,RoW,10847.24074
1908,nickel,China,8598.325522
1908,nickel,EU27,9359.205072
1908,nickel,RoW,11289.98526
1909,nickel,China,8949.277584
1909,nickel,EU27,9741.213442
1909,nickel,RoW,11750.80098
1910,nickel,China,9314.55422
1910,nickel,EU27,10138.81399
1910,nickel,RoW,12230.42551
1911,nickel,China,9694.740107
1911,nickel,EU27,10552.64313
1911,nickel,RoW,12729.62655
1912,nickel,China,10090.44378
1912,nickel,EU27,10983.36326
1912,nickel,RoW,13249.20314
1913,nickel,China,10502.29863
1913,nickel,EU27,11431.6638
1913,nickel,RoW,13789.98695
1914,nickel,China,10930.96388
1914,nickel,EU27,11898.26232
1914,nickel,RoW,14352.84356
1915,nickel,China,11377.12567
1915,nickel,EU27,12383.90568
