cohort_year,material,region,end_use,dist,param,value
1870,tin,EU27,construction,lognormal,mean_years,83.33333333333333
1870,tin,EU27,construction,lognormal,sigma,0.6
1870,tin,EU27,computers_and_precision_instruments,lognormal,mean_years,11.0
1870,tin,EU27,computers_and_precision_instruments,lognormal,sigma,0.6
1870,tin,EU27,electrical_equipment,lognormal,mean_years,25.0
1870,tin,EU27,electrical_equipment,lognormal,sigma,0.6
1870,tin,EU27,machinery_and_equipment,lognormal,mean_years,25.0
1870,tin,EU27,machinery_and_equipment,lognormal,sigma,0.6
1870,tin,EU27,motor_vehicles_trailers_and_semi_trailers,lognormal,mean_years,14.0
1870,tin,EU27,motor_vehicles_trailers_and_semi_trailers,lognormal,sigma,0.6
1870,tin,EU27,other_transport_equipment,lognormal,mean_years,28.0
1870,tin,EU27,other_transport_equipment,lognormal,sigma,0.6
1870,tin,EU27,products_nec,lognormal,mean_years,7.5
1870,tin,EU27,products_nec,lognormal,sigma,0.6
1870,tin,China,construction,lognormal,mean_years,70.0
1870,tin,China,construction,lognormal,sigma,0.6
1870,tin,China,computers_and_precision_instruments,lognormal,mean_years,11.0
1870,tin,China,computers_and_precision_instruments,lognormal,sigma,0.6
1870,tin,China,electrical_equipment,lognormal,mean_years,25.0
1870,tin,China,electrical_equipment,lognormal,sigma,0.6
1870,tin,China,machinery_and_equipment,lognormal,mean_years,25.0
1870,tin,China,machinery_and_equipment,lognormal,sigma,0.6
1870,tin,China,motor_vehicles_trailers_and_semi_trailers,lognormal,mean_years,14.0
1870,tin,China,motor_vehicles_trailers_and_semi_trailers,lognormal,sigma,0.6
1870,tin,China,other_transport_equipment,lognormal,mean_years,28.0
1870,tin,China,other_transport_equipment,lognormal,sigma,0.6
1870,tin,China,products_nec,lognormal,mean_years,7.5
1870,tin,China,products_nec,lognormal,sigma,0.6
1870,tin,RoW,construction,lognormal,mean_years,83.24384787472034
1870,tin,RoW,construction,lognormal,sigma,0.6
1870,tin,RoW,computers_and_precision_instruments,lognormal,mean_years,11.0
1870,tin,RoW,computers_and_precision_instruments,lognormal,sigma,0.6
1870,tin,RoW,electrical_equipment,lognormal,mean_years,25.0
1870,tin,RoW,electrical_equipment,lognormal,sigma,0.6
1870,tin,RoW,machinery_and_equipment,lognormal,mean_years,25.0
1870,tin,RoW,machinery_and_equipment,lognormal,sigma,0.6
1870,tin,RoW,motor_vehicles_trailers_and_semi_trailers,lognormal,mean_years,14.0
1870,tin,RoW,motor_vehicles_trailers_and_semi_trailers,lognormal,sigma,0.6
1870,tin,RoW,other_transport_equipment,lognormal,mean_years,28.0
1870,tin,RoW,other_transport_equipment,lognormal,sigma,0.6
1870,tin,RoW,products_nec,lognormal,mean_years,7.5
