year,material,region,value
1870,nickel,China,-5.088428931
1870,nickel,EU27,222.6608659
1870,nickel,RoW,-217.572437
1870,tin,China,-64.39403872
1871,nickel,EU27,222.6608659
1870,tin,RoW,13.02830368
1870,zinc,China,-978.2399358
1872,nickel,EU27,222.6608659
1870,zinc,RoW,-3.360370661
1871,nickel,China,-5.088428931
1873,nickel,EU27,222.6608659
1871,nickel,RoW,-217.572437
1871,tin,China,-64.39403872
1874,nickel,EU27,222.6608659
1871,tin,RoW,12.9753573
1871,zinc,China,-988.8924082
1875,nickel,EU27,222.6608659
1871,zinc,RoW,7.094090271
1872,nickel,China,-5.088428931
1876,nickel,EU27,222.6608659
1872,nickel,RoW,-217.572437
1872,tin,China,-64.39403872
1877,nickel,EU27,222.6608659
1872,tin,RoW,12.92122731
1872,zinc,China,-999.6786126
1878,nickel,EU27,222.6608659
1872,zinc,RoW,17.67598131
1873,nickel,China,-5.088428931
1879,nickel,EU27,222.6608659
1873,nickel,RoW,-217.572437
1873,tin,China,-64.39403872
1880,nickel,EU27,222.6608659
1873,tin,RoW,12.86588786
1873,zinc,China,-1010.599015
1881,nickel,EU27,222.6608659
1873,zinc,RoW,28.38556746
1874,nickel,China,-5.088428931
1882,nickel,EU27,222.6608659
1874,nickel,RoW,-217.572437
1874,tin,China,-64.39403872
1883,nickel,EU27,222.6608659
1874,tin,RoW,12.80931258
1874,zinc,China,-1021.654014
1884,nickel,EU27,222.6608659
1874,zinc,RoW,39.22303987
1875,nickel,China,-5.088428931
1885,nickel,EU27,222.6608659
1875,nickel,RoW,-217.572437
1875,tin,China,-64.39403872
1886,nickel,EU27,222.6608659
1875,tin,RoW,12.75147457
1875,zinc,China,-1032.843937
1887,nickel,EU27,222.6608659
1875,zinc,RoW,50.1885109
1876,nickel,China,-5.088428931
1888,nickel,EU27,222.6608659
1876,nickel,RoW,-217.572437
1876,tin,China,-64.39403872
1889,nickel,EU27,222.6608659
1876,tin,RoW,12.69234639
1876,zinc,China,-1044.169032
1890,nickel,EU27,222.6608659
1876,zinc,RoW,61.28200875
1877,nickel,China,-5.088428931
1891,nickel,EU27,222.6608659
1877,nickel,RoW,-217.572437
1877,tin,China,-64.39403872
1892,nickel,EU27,222.6608659
1877,tin,RoW,12.63190007
1877,zinc,China,-1055.629466
1893,nickel,EU27,222.6608659
1877,zinc,RoW,72.50347198
1878,nickel,China,-5.088428931
1894,nickel,EU27,222.6608659
1878,nickel,RoW,-217.572437
1878,tin,China,-64.39403872
1895,nickel,EU27,222.6608659
1878,tin,RoW,12.57010708
1878,zinc,China,-1067.225319
1896,nickel,EU27,222.6608659
1878,zinc,RoW,83.85274364
1879,nickel,China,-5.088428931
1897,nickel,EU27,222.6608659
1879,nickel,RoW,-217.572437
1879,tin,China,-64.39403872
1898,nickel,EU27,222.6608659
1879,tin,RoW,12.50693834
1879,zinc,China,-1078.956573
1899,nickel,EU27,222.6608659
1879,zinc,RoW,95.32956504
1880,nickel,China,-5.088428931
1900,nickel,EU27,222.6608659
1880,nickel,RoW,-217.572437
1880,tin,China,-64.39403872
1901,nickel,EU27,222.6608659
1880,tin,RoW,12.44236422
1880,zinc,China,-1090.823114
1902,nickel,EU27,222.6608659
1880,zinc,RoW,106.9335693
1881,nickel,China,-5.088428931
1903,nickel,EU27,222.6608659
1881,nickel,RoW,-217.572437
1881,tin,China,-64.39403872
1904,nickel,EU27,222.6608659
1881,tin,RoW,12.37635452
1881,zinc,China,-1102.824719
1905,nickel,EU27,222.6608659
1881,zinc,RoW,118.6642745
1882,nickel,China,-5.088428931
1906,nickel,EU27,222.6608659
1882,nickel,RoW,-217.572437
1882,tin,China,-64.39403872
1907,nickel,EU27,222.6608659
1882,tin,RoW,12.30887847
1882,zinc,China,-1114.961049
1908,nickel,EU27,222.6608659
1882,zinc,RoW,130.5210764
1883,nickel,China,-5.088428931
1909,nickel,EU27,222.6608659
1883,nickel,RoW,-217.572437
1883,tin,China,-64.39403872
1910,nickel,EU27,222.6608659
1883,tin,RoW,12.23990473
1883,zinc,China,-1127.231648
1911,nickel,EU27,222.6608659
1883,zinc,RoW,142.503241
1884,nickel,China,-5.088428931
1912,nickel,EU27,222.6608659
1884,nickel,RoW,-217.572437
1884,tin,China,-64.39403872
1913,nickel,EU27,222.6608659
1884,tin,RoW,12.16940135
1884,zinc,China,-1139.635929
1914,nickel,EU27,222.6608659
1884,zinc,RoW,154.6098963
1885,nickel,China,-5.088428931
1915,nickel,EU27,222.6608659
1885,nickel,RoW,-217.572437
1885,tin,China,-64.39403872
1916,nickel,EU27,222.6608659
1885,tin,RoW,12.09733585
1885,zinc,China,-1152.173166
1917,nickel,EU27,222.6608659
1885,zinc,RoW,166.8400243
1886,nickel,China,-5.088428931
1918,nickel,EU27,222.6608659
1886,nickel,RoW,-217.572437
1886,tin,China,-64.39403872
1919,nickel,EU27,222.6608659
1886,tin,RoW,12.0236751
1886,zinc,China,-1164.842491
1920,nickel,EU27,222.6608659
1886,zinc,RoW,179.1924518
1887,nickel,China,-5.088428931
1921,nickel,EU27,222.6608659
1887,nickel,RoW,-217.572437
1887,tin,China,-64.39403872
1922,nickel,EU27,222.6608659
1887,tin,RoW,11.94838543
1887,zinc,China,-1177.642879
1923,nickel,EU27,222.6608659
1887,zinc,RoW,191.6658412
1888,nickel,China,-5.088428931
1924,nickel,EU27,222.6608659
1888,nickel,RoW,-217.572437
1888,tin,China,-64.39403872
1925,nickel,EU27,222.6608659
1888,tin,RoW,11.87143255
1888,zinc,China,-1190.573142
1926,nickel,EU27,222.6608659
1888,zinc,RoW,204.2586813
1889,nickel,China,-5.088428931
1927,nickel,EU27,222.6608659
1889,nickel,RoW,-217.572437
1889,tin,China,-64.39403872
