year,material,region,value
1870,tin,EU27,3444.6567736355646
1870,tin,China,6512.254038445155
1870,tin,RoW,55027.24417405387
1870,zinc,EU27,7560.979771949911
1870,zinc,China,542.2789959348626
1870,zinc,RoW,18896.790748552197
1870,nickel,EU27,168.45469066654834
1870,nickel,China,53.72841216679371
1870,nickel,RoW,3619.96251542016
1871,tin,EU27,3483.138105240029
1871,tin,China,6585.00445267044
1871,tin,RoW,55641.970624174675
1871,zinc,EU27,7961.804584018784
1871,zinc,China,571.0264444389384
1871,zinc,RoW,19898.552799099238
1871,nickel,EU27,176.88709727668476
1871,nickel,China,56.41791767189256
1871,nickel,RoW,3801.1684867272957
1872,tin,EU27,3522.0493237619326
1872,tin,China,6658.567584387811
1872,tin,RoW,56263.56437456012
1872,zinc,EU27,8383.8780351286
1872,zinc,China,601.2978608667021
1872,zinc,RoW,20953.420544643355
1872,nickel,EU27,185.74160837650513
1872,nickel,China,59.24205287420825
1872,nickel,RoW,3991.4451608103554
1873,tin,EU27,3561.3952316016616
1873,tin,China,6732.952512717008
1873,tin,RoW,56892.10214195617
1873,zinc,EU27,8828.32656418109
1873,zinc,China,633.1740342395551
1873,zinc,RoW,22064.209239405434
1873,nickel,EU27,195.03935342625124
1873,nickel,China,62.20755698856608
1873,nickel,RoW,4191.246593616038
1874,tin,EU27,3601.1806848087103
1874,tin,China,6808.168418203441
1874,tin,RoW,57527.66150013544
1874,zinc,EU27,9296.336325177706
1874,zinc,China,666.7400363894999
1874,zinc,RoW,23233.883380664538
1874,nickel,EU27,204.80251957235635
1874,nickel,China,65.32150657747466
1874,nickel,RoW,4401.049569958672
1875,tin,EU27,3641.410593681013
1875,tin,China,6884.224583951248
1875,tin,RoW,58170.32088947126
1875,zinc,EU27,9789.15635285349
1875,zinc,China,702.0854490007142
1875,zinc,RoW,24465.564620473397
1875,nickel,EU27,215.05440459248345
1875,nickel,China,68.59133243787944
1875,nickel,RoW,4621.354741268616
1876,tin,EU27,3682.089923370965
1876,tin,China,6961.1303967690055
1876,tin,RoW,58820.15962661874
1876,zinc,EU27,10308.101896128419
1876,zinc,China,739.304602687119
1876,zinc,RoW,25762.540096792007
1876,nickel,EU27,225.81947249085522
1876,nickel,China,72.02483733322336
1876,nickel,RoW,4852.68782029339
1877,tin,EU27,3723.223694498227
1877,tin,China,7038.8953483282485
1877,tin,RoW,59477.25791430403
1877,zinc,EU27,10854.55792827264
1877,zinc,China,778.4968287439934
1877,zinc,RoW,27128.27120627365
1877,nickel,EU27,237.12341187654278
1877,nickel,China,75.6302146131288
1877,nickel,RoW,5095.600835602476
1878,tin,EU27,3764.816983769358
1878,tin,China,7117.529036334925
1878,tin,RoW,60141.69685122284
1878,zinc,EU27,11429.98284315355
1878,zinc,China,819.7667242455193
1878,zinc,RoW,28566.402842116368
1878,nickel,EU27,248.99319726402038
1878,nickel,China,79.41606776513264
1878,nickel,RoW,5350.673448889364
1879,tin,EU27,3806.874924604388
1879,tin,China,7197.041165713939
1879,tin,RoW,60813.558442049645
1879,zinc,EU27,12035.912347429416
1879,zinc,China,863.2244311957506
1879,zinc,RoW,30080.77312163401
1879,nickel,EU27,261.45715344226807
1879,nickel,China,83.39143094513062
1879,nickel,RoW,5618.514338214365
1880,tin,EU27,3849.4027077703754
1880,tin,China,7277.441549806929
1880,tin,RoW,61492.925607558594
1880,zinc,EU27,12673.96355907704
1880,zinc,China,908.9859304780143
1880,zinc,RoW,31675.42362950806
1880,nickel,EU27,274.54502306602467
1880,nickel,China,87.56579053552281
1880,nickel,RoW,5899.762650488957
1881,tin,EU27,3892.405582022052
1881,tin,China,7358.740111583424
1881,tin,RoW,62179.88219485761
1881,zinc,EU27,13345.839323191762
1881,zinc,China,957.173351387241
1881,zinc,RoW,33354.61020405767
1881,nickel,EU27,288.28803763048484
1881,nickel,China,91.94910778250402
1881,nickel,RoW,6195.089526667764
1882,tin,EU27,3935.8888547496194
1882,tin,China,7440.946884865525
1882,tin,RoW,62874.512987736714
1882,zinc,EU27,14053.332756577862
1882,zinc,China,1007.9152975713109
1882,zinc,RoW,35122.81429531449
1882,nickel,EU27,302.7189919988057
1882,nickel,China,96.55184256651856
1882,nickel,RoW,6505.199703287702
1883,tin,EU27,3979.857892633787
1883,tin,China,7524.072015566286
1883,tin,RoW,63576.903717132
1883,zinc,EU27,14798.332033258106
1883,zinc,China,1061.3471902512956
1883,zinc,RoW,36984.75492521499
1883,nickel,EU27,317.87232266026797
1883,nickel,China,101.38497836260261
1883,nickel,RoW,6830.833194176024
1884,tin,EU27,4024.3181223081206
1884,tin,China,7608.125762941905
1884,tin,RoW,64287.14107170651
1884,zinc,EU27,15582.825423674063
1884,zinc,China,1117.6116296365883
1884,zinc,RoW,38945.401281829894
1884,nickel,EU27,333.78418990583907
1884,nickel,China,106.46004845017671
1884,nickel,RoW,7172.767056340346
1885,tin,EU27,4069.275031028797
1885,tin,China,7693.1185008579205
1885,tin,RoW,65005.31270854926
1885,zinc,EU27,16408.906601025952
1885,zinc,China,1176.8587754994776
1885,zinc,RoW,41009.98598124254
1885,nickel,EU27,350.4925641172314
1885,nickel,China,111.78916343483283
1885,nickel,RoW,7531.817244254549
1886,tin,EU27,4114.734167351839
1886,tin,China,7779.06071906955
1886,tin,RoW,65731.50726399389
1886,zinc,EU27,17278.780228913696
1886,zinc,China,1239.2467479248462
1886,zinc,RoW,43184.01903246964
1886,nickel,EU27,368.0373163753691
1886,nickel,China,117.38504014779097
1886,nickel,RoW,7908.840556965447
1887,tin,EU27,4160.70114181791
1887,tin,China,7865.963024516325
1887,tin,RoW,66465.81436455804
1887,zinc,EU27,18194.767845191574
1887,zinc,China,1304.9420493045295
1887,zinc,RoW,45473.302542694444
1887,nickel,EU27,386.46031360447984
1887,nickel,China,123.26103199198795
1887,nickel,RoW,8304.736682666588
1888,tin,EU27,4207.181627644771
1888,tin,China,7953.836142631196
1888,tin,RoW,67208.32463800507
1888,zinc,EU27,19159.314057739488
1888,zinc,China,1374.1200087025568
1888,zinc,RoW,47883.94620205791
1888,nickel,EU27,405.80551847885465
1888,nickel,China,129.4311608072129
1888,nickel,RoW,8720.450345618132
1889,tin,EU27,4254.181361427461
1889,tin,China,8042.690918664261
1889,tin,RoW,67959.12972452927
1889,zinc,EU27,20174.993068686166
1889,zinc,China,1446.9652497772115
1889,zinc,RoW,50422.383589333986
1889,nickel,EU27,426.1190943306813
1889,nickel,China,135.91015033032923
1889,nickel,RoW,9156.973560536
1890,tin,EU27,4301.706143846302
1890,tin,China,8132.538319021274
1890,tin,RoW,68718.32228806596
1890,zinc,EU27,21244.515544496397
1890,zinc,China,1523.672183508707
1890,zinc,RoW,53095.38934200607
1890,nickel,EU27,447.4495153092936
1890,nickel,China,142.71346133042883
1890,nickel,RoW,9615.34799982991
1891,tin,EU27,4349.761840382826
1891,tin,China,8223.389432617121
1891,tin,RoW,69485.99602772815
1891,zinc,EU27,22370.735850257242
1891,zinc,China,1604.4455270474828
1891,zinc,RoW,55910.09723656836
1891,nickel,EU27,469.8476820547072
1891,nickel,China,149.8573285027612
1891,nickel,RoW,10096.667479339238
1892,tin,EU27,4398.354382043677
1892,tin,China,8315.255472244404
1892,tin,RoW,70262.24568937076
1892,zinc,EU27,23556.659667470325
1892,zinc,China,1689.5008500678352
1892,zinc,RoW,58874.01922730535
1892,nickel,EU27,493.3670431614749
1892,nickel,China,157.35879920947752
1892,nickel,RoW,10602.08056849839
1893,tin,EU27,4447.489766092619
1893,tin,China,8408.14777595731
1893,tin,RoW,71047.16707728407
1893,zinc,EU27,24805.452015680657
1893,zinc,China,1779.0651500850004
1893,zinc,RoW,61995.065494360504
1893,nickel,EU27,518.0637227227073
1893,nickel,China,165.23577415963618
1893,nickel,RoW,11132.793331160321
1894,tin,EU27,4497.174056790714
1894,tin,China,8502.07780847096
1894,tin,RoW,71840.85706601791
1894,zinc,EU27,26120.445699350374
1894,zinc,China,1873.3774582711126
1894,zinc,RoW,65281.56555459887
1894,nickel,EU27,543.9966542586194
1894,nickel,China,173.50705012554442
1894,nickel,RoW,11690.07220361858
1895,tin,EU27,4547.41338614477
1895,tin,China,8597.057162576368
1895,tin,RoW,72643.4136123378
1895,zinc,EU27,27505.150202520505
1895,zinc,China,1972.6894773868482
1895,zinc,RoW,68742.29049160473
1895,nickel,EU27,571.2277213491923
1895,nickel,China,182.1923647973694
1895,nickel,RoW,12275.247016695723
1896,tin,EU27,4598.213954664149
1896,tin,China,8693.097560571225
1896,tin,RoW,73454.93576731473
1896,zinc,EU27,28963.26105499911
1896,zinc,China,2077.2662535312857
1896,zinc,RoW,72386.47636414217
1896,nickel,EU27,599.8219053065442
1896,nickel,China,191.31244388305558
1896,nickel,RoW,12889.714169109648
1897,tin,EU27,4649.582032126031
1897,tin,China,8790.210855706648
1897,tin,RoW,74275.52368855002
1897,zinc,EU27,30498.669695072458
1897,zinc,China,2187.386883502759
1897,zinc,RoW,76223.84885555178
1897,nickel,EU27,629.847440239398
1897,nickel,China,200.889050565942
1897,nickel,RoW,13534.939959690457
1898,tin,EU27,4701.523958349224
1898,tin,China,8888.409033650107
1898,tin,RoW,75105.27865253667
1898,zinc,EU27,32115.473855061024
1898,zinc,China,2303.345259658525
1898,zinc,RoW,80264.64922986802
1898,nickel,EU27,661.3759758796756
1898,nickel,China,210.9450374381002
1898,nickel,RoW,14212.46408639949
1899,tin,EU27,4754.046143976625
1899,tin,China,8987.704213964693
1899,tin,RoW,75944.30306715886
1899,zinc,EU27,33817.988497437575
1899,zinc,China,2425.450854261149
1899,zinc,RoW,84519.66166392971
1899,nickel,EU27,694.482748559771
1899,nickel,China,221.50440103332087
1899,nickel,RoW,14923.903320500202
1900,tin,EU27,4807.155071266414
1900,tin,China,9088.108651604904
1900,tin,RoW,76792.70048433112
1900,zinc,EU27,35610.75733069382
1900,zinc,China,2554.0295454048755
1900,zinc,RoW,89000.24202842824
1900,nickel,EU27,729.2467607485039
1900,nickel,China,232.592339089881
1900,nickel,RoW,15670.955364648551
1901,tin,EU27,4860.857294892092
1901,tin,China,9189.634738429137
1901,tin,RoW,77650.57561277853
1901,zinc,EU27,37498.5649356895
1901,zinc,China,2689.4244867262496
1901,zinc,RoW,93718.34819470475
1901,nickel,EU27,765.7509695741794
1901,nickel,China,244.23531067973698
1901,nickel,RoW,16455.402904109418
1902,tin,EU27,4915.159442751457
1902,tin,China,9292.2950047291
1902,tin,RoW,78518.03433095994
1902,zinc,EU27,39486.449534846935
1902,zinc,China,2831.997023220084
1902,zinc,RoW,98686.57194818003
1902,nickel,EU27,804.0824847846249
1902,nickel,China,256.4610993476301
1902,nickel,RoW,17279.11786076645
1903,tin,EU27,4970.068216784613
1903,tin,China,9396.102120776279
1903,tin,RoW,79395.1837001354
1903,zinc,EU27,41579.71643826974
1903,zinc,China,2982.12765560492
1903,zinc,RoW,103918.1725935881
1903,nickel,EU27,844.3327766165947
1903,nickel,China,269.2988794107724
1903,nickel,RoW,18144.065860076673
1904,tin,EU27,5025.590393801118
1904,tin,China,9501.068898385704
1904,tin,RoW,80282.13197757953
1904,zinc,EU27,43783.952202671
1904,zinc,China,3140.2170558117095
1904,zinc,RoW,109427.11234170008
1904,nickel,EU27,886.5978940705811
1904,nickel,China,282.7792855773231
1904,nickel,RoW,19052.310921629258
1905,tin,EU27,5081.732826316379
1905,tin,China,9607.208292497173
1905,tin,RoW,81178.9886299426
1905,zinc,EU27,46105.039540898615
1905,zinc,China,3306.6871363058667
1905,zinc,RoW,115228.09357197917
1905,nickel,EU27,930.978694111897
1905,nickel,China,296.9344860497869
1905,nickel,RoW,20006.020384501604
1906,tin,EU27,5138.502443397382
1906,tin,China,9714.533402774141
1906,tin,RoW,82085.86434676094
1906,zinc,EU27,48549.173021848634
1906,zinc,China,3481.9821760965297
1906,zinc,RoW,121336.59807061401
1906,nickel,EU27,977.5810823449735
1906,nickel,China,311.798259287779
1906,nickel,RoW,21007.47007916597
1907,tin,EU27,5195.906251517873
1907,tin,China,9823.057475220481
1907,tin,RoW,83002.87105411802
1907,zinc,EU27,51122.87560266683
1907,zinc,China,3666.570006438142
1907,zinc,RoW,127768.92834864988
1907,nickel,EU27,1026.516265735192
1907,nickel,China,327.40607461333593
1907,nickel,RoW,22059.04975828843
1908,tin,EU27,5253.951335423096
1908,tin,China,9932.793903815287
1908,tin,RoW,83930.12192845841
1908,zinc,EU27,53833.01603736009
1908,zinc,China,3860.9432593887877
1908,zinc,RoW,134542.25115048848
1908,nickel,EU27,1077.9010179813158
1908,nickel,China,343.7951768511197
1908,nickel,RoW,23163.268799379563
1909,tin,EU27,5312.644859004185
1909,tin,China,10043.75623216596
1909,tin,RoW,84867.73141055592
1909,zinc,EU27,56686.82720827805
1909,zinc,China,4065.62068255745
1909,zinc,RoW,141674.64326887263
1909,nickel,EU27,1131.8579581717818
1909,nickel,China,361.00467520549284
1909,nickel,RoW,24322.762192905124
1910,tin,EU27,5371.994066182328
1910,tin,China,10155.95815517975
1910,tin,RoW,85815.81521963784
1910,zinc,EU27,59691.92542938849
1910,zinc,China,4281.1485235490345
1910,zinc,RoW,149185.13978862797
1910,nickel,EU27,1188.515843389807
1910,nickel,China,379.07563658654897
1910,nickel,RoW,25540.296830146053
1911,tin,EU27,5432.006281802812
1911,tin,China,10269.41352075397
1911,tin,RoW,86774.49036766689
1911,zinc,EU27,62856.330772863366
1911,zinc,China,4508.10198780198
1911,zinc,RoW,157093.7848879157
1911,nickel,EU27,1248.0098759655484
1911,nickel,China,398.05118360780415
1911,nickel,RoW,26818.778105812526
1912,tin,EU27,5492.688912539044
1912,tin,China,10384.1363314851
1912,tin,RoW,87743.8751737828
1912,zinc,EU27,66188.48847322373
1912,zinc,China,4747.0867737091685
1912,zinc,RoW,165421.68533257567
