year,material,region,extraction_yield,beneficiation_yield,refining_yield,sorting_yield,extraction_loss_to_sysenv_share,beneficiation_loss_to_sysenv_share,refining_loss_to_sysenv_share,sorting_reject_to_disposal_share,sorting_reject_to_sysenv_share
1870,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1871,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1872,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1873,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1874,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1875,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1876,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1877,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1878,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1879,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1880,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1881,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1882,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1883,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1884,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1885,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1886,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1887,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1888,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1889,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1890,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1891,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1892,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1893,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1894,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1895,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1896,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1897,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1898,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1899,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1900,nickel,China,0.0081144684020902,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1901,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1902,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1903,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1904,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1905,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1906,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1907,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1908,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1909,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1910,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1911,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1912,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1913,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1914,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1915,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1916,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
