year,material,region,end_use,value
1870,nickel,China,computers_and_precision_instruments,805.97806
1871,nickel,China,computers_and_precision_instruments,1644.422108
1872,nickel,China,computers_and_precision_instruments,2514.077282
1873,nickel,China,computers_and_precision_instruments,3411.112266
1874,nickel,China,computers_and_precision_instruments,4329.19027
1875,nickel,China,computers_and_precision_instruments,5259.733806
1876,nickel,China,computers_and_precision_instruments,6192.437575
1877,nickel,China,computers_and_precision_instruments,7116.04621
1878,nickel,China,computers_and_precision_instruments,8019.359916
1879,nickel,China,computers_and_precision_instruments,8892.369134
1880,nickel,China,computers_and_precision_instruments,9727.36385
1881,nickel,China,computers_and_precision_instruments,10519.83298
1882,nickel,China,computers_and_precision_instruments,11268.98078
1883,nickel,China,computers_and_precision_instruments,11977.74716
1884,nickel,China,computers_and_precision_instruments,12652.31789
1885,nickel,China,computers_and_precision_instruments,13301.22305
1886,nickel,China,computers_and_precision_instruments,13934.21331
1887,nickel,China,computers_and_precision_instruments,14561.14278
1888,nickel,China,computers_and_precision_instruments,15191.06246
1889,nickel,China,computers_and_precision_instruments,15831.64951
1890,nickel,China,computers_and_precision_instruments,16488.99698
1891,nickel,China,computers_and_precision_instruments,17167.70041
1892,nickel,China,computers_and_precision_instruments,17871.12888
1893,nickel,China,computers_and_precision_instruments,18601.76331
1894,nickel,China,computers_and_precision_instruments,19361.51373
1895,nickel,China,computers_and_precision_instruments,20151.96838
1896,nickel,China,computers_and_precision_instruments,20974.56417
1897,nickel,China,computers_and_precision_instruments,21830.69037
1898,nickel,China,computers_and_precision_instruments,22721.74535
1899,nickel,China,computers_and_precision_instruments,23649.16526
1900,nickel,China,computers_and_precision_instruments,24614.43774
1901,nickel,China,computers_and_precision_instruments,25619.10877
1902,nickel,China,computers_and_precision_instruments,26664.7867
1903,nickel,China,computers_and_precision_instruments,27753.14534
1904,nickel,China,computers_and_precision_instruments,28885.92678
1905,nickel,China,computers_and_precision_instruments,30064.9442
1906,nickel,China,computers_and_precision_instruments,31292.08478
1907,nickel,China,computers_and_precision_instruments,32569.31273
1908,nickel,China,computers_and_precision_instruments,33898.67244
1909,nickel,China,computers_and_precision_instruments,35282.29172
1910,nickel,China,computers_and_precision_instruments,36722.38526
1911,nickel,China,computers_and_precision_instruments,38221.25813
1912,nickel,China,computers_and_precision_instruments,39781.30948
1913,nickel,China,computers_and_precision_instruments,41405.0364
1914,nickel,China,computers_and_precision_instruments,43095.03788
1915,nickel,China,computers_and_precision_instruments,44854.01902
1916,nickel,China,computers_and_precision_instruments,46684.79531
1917,nickel,China,computers_and_precision_instruments,48590.29716
1918,nickel,China,computers_and_precision_instruments,50573.57459
1919,nickel,China,computers_and_precision_instruments,52637.80213
1920,nickel,China,computers_and_precision_instruments,54786.28385
1921,nickel,China,computers_and_precision_instruments,57022.4587
1922,nickel,China,computers_and_precision_instruments,59349.90599
1923,nickel,China,computers_and_precision_instruments,61772.35113
1924,nickel,China,computers_and_precision_instruments,64293.67159
1925,nickel,China,computers_and_precision_instruments,66917.90308
1926,nickel,China,computers_and_precision_instruments,69649.24607
1927,nickel,China,computers_and_precision_instruments,72492.07244
1928,nickel,China,computers_and_precision_instruments,75450.93254
1929,nickel,China,computers_and_precision_instruments,78530.56243
1930,nickel,China,computers_and_precision_instruments,81735.89151
1931,nickel,China,computers_and_precision_instruments,85072.05035
1932,nickel,China,computers_and_precision_instruments,88544.37894
1933,nickel,China,computers_and_precision_instruments,92158.43522
1934,nickel,China,computers_and_precision_instruments,95920.004
1935,nickel,China,computers_and_precision_instruments,99835.10621
1936,nickel,China,computers_and_precision_instruments,103910.0085
1937,nickel,China,computers_and_precision_instruments,108151.2333
1938,nickel,China,computers_and_precision_instruments,112565.5694
1939,nickel,China,computers_and_precision_instruments,117160.0824
1940,nickel,China,computers_and_precision_instruments,121942.1266
1941,nickel,China,computers_and_precision_instruments,126919.3563
1942,nickel,China,computers_and_precision_instruments,132099.7382
1943,nickel,China,computers_and_precision_instruments,137491.5642
1944,nickel,China,computers_and_precision_instruments,143103.4648
1945,nickel,China,computers_and_precision_instruments,148944.4225
1946,nickel,China,computers_and_precision_instruments,155023.7867
1947,nickel,China,computers_and_precision_instruments,161351.2882
