year,origin_region,value
1870,EU27,0.28
1870,China,0.5
1870,RoW,0.57
1871,EU27,0.28
1871,China,0.5
1871,RoW,0.57
1872,EU27,0.28
1872,China,0.5
1872,RoW,0.57
1873,EU27,0.28
1873,China,0.5
1873,RoW,0.57
1874,EU27,0.28
1874,China,0.5
1874,RoW,0.57
1875,EU27,0.28
1875,China,0.5
1875,RoW,0.57
1876,EU27,0.28
1876,China,0.5
1876,RoW,0.57
1877,EU27,0.28
1877,China,0.5
1877,RoW,0.57
1878,EU27,0.28
1878,China,0.5
1878,RoW,0.57
1879,EU27,0.28
1879,China,0.5
1879,RoW,0.57
1880,EU27,0.28
1880,China,0.5
1880,RoW,0.57
1881,EU27,0.28
1881,China,0.5
1881,RoW,0.57
1882,EU27,0.28
1882,China,0.5
1882,RoW,0.57
1883,EU27,0.28
1883,China,0.5
1883,RoW,0.57
1884,EU27,0.28
1884,China,0.5
1884,RoW,0.57
1885,EU27,0.28
1885,China,0.5
1885,RoW,0.57
1886,EU27,0.28
1886,China,0.5
1886,RoW,0.57
1887,EU27,0.28
1887,China,0.5
1887,RoW,0.57
1888,EU27,0.28
1888,China,0.5
1888,RoW,0.57
1889,EU27,0.28
1889,China,0.5
1889,RoW,0.57
1890,EU27,0.28
1890,China,0.5
1890,RoW,0.57
1891,EU27,0.28
1891,China,0.5
1891,RoW,0.57
1892,EU27,0.28
1892,China,0.5
1892,RoW,0.57
1893,EU27,0.28
1893,China,0.5
1893,RoW,0.57
1894,EU27,0.28
1894,China,0.5
1894,RoW,0.57
1895,EU27,0.28
1895,China,0.5
1895,RoW,0.57
1896,EU27,0.28
1896,China,0.5
1896,RoW,0.57
1897,EU27,0.28
1897,China,0.5
1897,RoW,0.57
1898,EU27,0.28
1898,China,0.5
1898,RoW,0.57
1899,EU27,0.28
1899,China,0.5
1899,RoW,0.57
1900,EU27,0.28
1900,China,0.5
1900,RoW,0.57
1901,EU27,0.28
1901,China,0.5
1901,RoW,0.57
1902,EU27,0.28
1902,China,0.5
1902,RoW,0.57
1903,EU27,0.28
1903,China,0.5
1903,RoW,0.57
1904,EU27,0.28
1904,China,0.5
1904,RoW,0.57
1905,EU27,0.28
1905,China,0.5
1905,RoW,0.57
1906,EU27,0.28
1906,China,0.5
1906,RoW,0.57
1907,EU27,0.28
1907,China,0.5
1907,RoW,0.57
1908,EU27,0.28
1908,China,0.5
1908,RoW,0.57
1909,EU27,0.28
1909,China,0.5
1909,RoW,0.57
1910,EU27,0.28
1910,China,0.5
1910,RoW,0.57
1911,EU27,0.28
1911,China,0.5
1911,RoW,0.57
1912,EU27,0.28
1912,China,0.5
1912,RoW,0.57
1913,EU27,0.28
1913,China,0.5
1913,RoW,0.57
1914,EU27,0.28
1914,China,0.5
1914,RoW,0.57
1915,EU27,0.28
1915,China,0.5
1915,RoW,0.57
1916,EU27,0.28
1916,China,0.5
1916,RoW,0.57
1917,EU27,0.28
1917,China,0.5
1917,RoW,0.57
1918,EU27,0.28
1918,China,0.5
1918,RoW,0.57
1919,EU27,0.28
1919,China,0.5
1919,RoW,0.57
1920,EU27,0.28
1920,China,0.5
1920,RoW,0.57
1921,EU27,0.28
1921,China,0.5
