year,material,commodity,region,supply_avail_kt,import_need_kt,export_cap_raw_kt,exportable_kt
1995,nickel,concentrates,China,483.06224999999995,122.9664,483.06224999999995,483.06224999999995
1995,nickel,concentrates,EU27,66593.09605000001,164254.44799999997,66593.09605000001,66593.09605000001
1995,nickel,concentrates,RoW,5006517.6726,4909216.4165,5006517.6726,5006517.6726
1995,nickel,refined_metal,China,7590.47875,2275.6976,7590.47875,7590.47875
1995,nickel,refined_metal,EU27,74547.84695,301231.963,74547.84695,74547.84695
1995,nickel,refined_metal,RoW,769687.0974,548317.7625,769687.0974,769687.0974
1995,nickel,scrap,China,796.9340000000001,568.57,796.9340000000001,796.9340000000001
1995,nickel,scrap,EU27,50598.395000000004,61760.978,50598.395000000004,50598.395000000004
1995,nickel,scrap,RoW,64023.136,53088.917,64023.136,64023.136
1995,tin,concentrates,China,2820.069,110.73400000000001,2820.069,2820.069
1995,tin,concentrates,EU27,10649.164,3202.217,10649.164,10649.164
1995,tin,concentrates,RoW,151820.45399999997,161976.73599999998,151820.45399999997,151820.45399999997
1995,tin,refined_metal,China,66799.701,6772.143,66799.701,66799.701
1995,tin,refined_metal,EU27,23925.548,78598.42300000001,23925.548,23925.548
1995,tin,refined_metal,RoW,218965.99200000003,224320.67500000002,218965.99200000003,218965.99200000003
1995,tin,scrap,China,44.041,1449.128,44.041,44.041
1995,tin,scrap,EU27,4916.695999999999,6121.733,4916.695999999999,4916.695999999999
1995,tin,scrap,RoW,31364.775999999998,28754.652,31364.775999999998,31364.775999999998
1995,zinc,concentrates,China,209378.7028,90992.6793,209378.7028,209378.7028
1995,zinc,concentrates,EU27,1199471.1886999998,3298453.1063,1199471.1886999998,1199471.1886999998
1995,zinc,concentrates,RoW,5182105.7728,3201509.8787000002,5182105.7728,5182105.7728
1995,zinc,refined_metal,China,286429.6867,15624.8007,286429.6867,286429.6867
1995,zinc,refined_metal,EU27,1289182.0463,1195686.9142,1289182.0463,1289182.0463
1995,zinc,refined_metal,RoW,1881618.2337,2245918.2517999997,1881618.2337,1881618.2337
1995,zinc,scrap,China,11069.1775,22482.382,11069.1775,11069.1775
1995,zinc,scrap,EU27,261030.60499999998,203684.9145,261030.60499999998,261030.60499999998
1995,zinc,scrap,RoW,246292.4005,292224.8865,246292.4005,246292.4005
1996,nickel,concentrates,China,53.7162,8403.98695,375.7257375,53.7162
1996,nickel,concentrates,EU27,42401.41275,214957.23289999994,60545.175225000006,42401.41275
1996,nickel,concentrates,RoW,6094896.29185,5913990.2009499995,5822801.6370375,5822801.6370375
1996,nickel,refined_metal,China,739.4818,21858.41905,5877.7295125,739.4818
1996,nickel,refined_metal,EU27,86817.56324999999,246899.99910000002,83750.134175,83750.134175
1996,nickel,refined_metal,RoW,699773.30415,518571.93105,752208.6490875,699773.30415
1996,nickel,scrap,China,159.305,265.71000000000004,637.52675,159.305
1996,nickel,scrap,EU27,29807.593999999997,44927.785,45400.69475,29807.593999999997
1996,nickel,scrap,RoW,72878.695,57652.099,70664.80525,70664.80525
1996,tin,concentrates,China,5194.932,491.081,4601.2162499999995,4601.2162499999995
1996,tin,concentrates,EU27,12349.431,103378.531,11924.36425,11924.36425
1996,tin,concentrates,RoW,282722.685,196397.436,249997.12725,249997.12725
1996,tin,refined_metal,China,51882.93,7876.079,63070.50825,51882.93
1996,tin,refined_metal,EU27,25119.594999999998,81755.504,24821.083249999996,24821.083249999996
1996,tin,refined_metal,RoW,235388.722,222759.664,231283.0395,231283.0395
1996,tin,scrap,China,78.141,831.1220000000001,69.616,69.616
1996,tin,scrap,EU27,5725.378,5772.891,5523.2074999999995,5523.2074999999995
1996,tin,scrap,RoW,21864.487999999998,21063.994,28989.703999999998,21864.487999999998
1996,zinc,concentrates,China,98083.96680000001,287645.63670000003,181555.0188,98083.96680000001
1996,zinc,concentrates,EU27,2081402.4392,4599772.88,1860919.626575,1860919.626575
1996,zinc,concentrates,RoW,5937072.8488,3229140.7380999997,5748331.0798,5748331.0798
1996,zinc,refined_metal,China,263018.2322,14971.709799999999,280576.823075,263018.2322
1996,zinc,refined_metal,EU27,1427353.8668,1230324.9394999999,1392810.911675,1392810.911675
1996,zinc,refined_metal,RoW,1915342.1546999998,2360417.6044,1906911.1744499998,1906911.1744499998
1996,zinc,scrap,China,3966.888,21057.6855,9293.605125,3966.888
1996,zinc,scrap,EU27,304694.14300000004,234467.0475,293778.2585,293778.2585
1996,zinc,scrap,RoW,214397.4595,267533.7575,238318.66525,214397.4595
1997,nickel,concentrates,China,4053.72325,29826.1625,2268.39275,2268.39275
1997,nickel,concentrates,EU27,58925.9912,248396.19514999999,62759.543625000006,58925.9912
1997,nickel,concentrates,RoW,6373090.8647,6157848.2215,6233993.578275,6233993.578275
1997,nickel,refined_metal,China,6954.938749999999,4645.1585,7272.70875,6954.938749999999
1997,nickel,refined_metal,EU27,108517.9888,304186.49985,97667.776025,97667.776025
1997,nickel,refined_metal,RoW,729718.9223,536360.1915000001,749703.00985,729718.9223
1997,nickel,scrap,China,870.778,500.214,833.856,833.856
1997,nickel,scrap,EU27,30291.825,40897.447,40445.11,30291.825
1997,nickel,scrap,RoW,182504.669,172269.611,127691.682,127691.682
1997,tin,concentrates,China,3132.562,632.1,4163.746999999999,3132.562
1997,tin,concentrates,EU27,8869.291000000001,2502.589,11499.2975,8869.291000000001
1997,tin,concentrates,RoW,85103.56800000001,93970.73200000002,217271.56949999998,85103.56800000001
1997,tin,refined_metal,China,48016.218,9628.095,59341.3155,48016.218
1997,tin,refined_metal,EU27,26181.928999999996,81281.10800000001,25650.761999999995,25650.761999999995
1997,tin,refined_metal,RoW,252827.771,236116.715,244108.2465,244108.2465
1997,tin,scrap,China,144.159,435.343,111.15,111.15
1997,tin,scrap,EU27,4228.079,5117.234,5321.036999999999,4228.079
1997,tin,scrap,RoW,16706.686999999998,15526.347999999998,26614.631999999998,16706.686999999998
1997,zinc,concentrates,China,410803.8594,218417.35629999998,310091.2811,310091.2811
1997,zinc,concentrates,EU27,2375054.6703,4945246.310699999,2228228.55475,2228228.55475
1997,zinc,concentrates,RoW,5871818.487199999,3494013.3499,5904445.668,5871818.487199999
1997,zinc,refined_metal,China,639402.0161,11605.9337,462915.85140000004,462915.85140000004
1997,zinc,refined_metal,EU27,1451882.9847000001,1331359.4628,1439618.42575,1439618.42575
1997,zinc,refined_metal,RoW,2108953.8018,2857273.4061,2012147.97825,2012147.97825
1997,zinc,scrap,China,2068.5385,22152.106,7518.03275,2068.5385
1997,zinc,scrap,EU27,441853.051,311038.08749999997,373273.597,373273.597
