year,material,commodity,origin_region,destination_region,flow_kt
1995,nickel,concentrates,China,China,0.0
1995,nickel,concentrates,China,EU27,0.0
1995,nickel,concentrates,China,RoW,483.06224999999995
1995,nickel,concentrates,EU27,China,6.9375
1995,nickel,concentrates,EU27,EU27,15375.5132
1995,nickel,concentrates,EU27,RoW,51210.645350000006
1995,nickel,concentrates,RoW,China,116.0289
1995,nickel,concentrates,RoW,EU27,148878.9348
1995,nickel,concentrates,RoW,RoW,4857522.7089
1995,nickel,refined_metal,China,China,0.0
1995,nickel,refined_metal,China,EU27,145.448
1995,nickel,refined_metal,China,RoW,7445.030750000001
1995,nickel,refined_metal,EU27,China,68.0335
1995,nickel,refined_metal,EU27,EU27,42797.537800000006
1995,nickel,refined_metal,EU27,RoW,31682.27565
1995,nickel,refined_metal,RoW,China,2207.6641
1995,nickel,refined_metal,RoW,EU27,258288.9772
1995,nickel,refined_metal,RoW,RoW,509190.4561
1995,nickel,scrap,China,China,0.0
1995,nickel,scrap,China,EU27,26.398000000000003
1995,nickel,scrap,China,RoW,770.5360000000001
1995,nickel,scrap,EU27,China,0.9999999999999999
1995,nickel,scrap,EU27,EU27,42553.651000000005
1995,nickel,scrap,EU27,RoW,8043.744
1995,nickel,scrap,RoW,China,567.57
1995,nickel,scrap,RoW,EU27,19180.928999999996
1995,nickel,scrap,RoW,RoW,44274.637
1995,tin,concentrates,China,China,0.0
1995,tin,concentrates,China,EU27,0.0
1995,tin,concentrates,China,RoW,2820.069
1995,tin,concentrates,EU27,China,0.0
1995,tin,concentrates,EU27,EU27,632.7330000000001
1995,tin,concentrates,EU27,RoW,10016.431
1995,tin,concentrates,RoW,China,110.73400000000001
1995,tin,concentrates,RoW,EU27,2569.484
1995,tin,concentrates,RoW,RoW,149140.23599999998
1995,tin,refined_metal,China,China,0.0
1995,tin,refined_metal,China,EU27,21185.845
1995,tin,refined_metal,China,RoW,45613.856
1995,tin,refined_metal,EU27,China,32.549
1995,tin,refined_metal,EU27,EU27,18132.945
1995,tin,refined_metal,EU27,RoW,5760.054
1995,tin,refined_metal,RoW,China,6739.594
1995,tin,refined_metal,RoW,EU27,39279.633
1995,tin,refined_metal,RoW,RoW,172946.765
1995,tin,scrap,China,China,0.0
1995,tin,scrap,China,EU27,1.0
1995,tin,scrap,China,RoW,43.041
1995,tin,scrap,EU27,China,147.816
1995,tin,scrap,EU27,EU27,4319.306
1995,tin,scrap,EU27,RoW,449.57399999999996
1995,tin,scrap,RoW,China,1301.312
1995,tin,scrap,RoW,EU27,1801.4270000000001
1995,tin,scrap,RoW,RoW,28262.036999999997
1995,zinc,concentrates,China,China,0.0
1995,zinc,concentrates,China,EU27,10633.238399999998
1995,zinc,concentrates,China,RoW,198745.46439999997
1995,zinc,concentrates,EU27,China,24.488699999999998
1995,zinc,concentrates,EU27,EU27,921497.9537
1995,zinc,concentrates,EU27,RoW,277948.74629999994
1995,zinc,concentrates,RoW,China,90968.1906
1995,zinc,concentrates,RoW,EU27,2366321.9142
1995,zinc,concentrates,RoW,RoW,2724815.668
1995,zinc,refined_metal,China,China,0.0
1995,zinc,refined_metal,China,EU27,10519.919600000003
1995,zinc,refined_metal,China,RoW,275909.76709999994
1995,zinc,refined_metal,EU27,China,512.2153000000002
1995,zinc,refined_metal,EU27,EU27,868013.3623
1995,zinc,refined_metal,EU27,RoW,420656.4686999999
1995,zinc,refined_metal,RoW,China,15112.5854
1995,zinc,refined_metal,RoW,EU27,317153.6323
1995,zinc,refined_metal,RoW,RoW,1549352.0159999998
1995,zinc,scrap,China,China,0.0
1995,zinc,scrap,China,EU27,35.0
1995,zinc,scrap,China,RoW,11034.1775
1995,zinc,scrap,EU27,China,6961.754
1995,zinc,scrap,EU27,EU27,164416.627
1995,zinc,scrap,EU27,RoW,89652.224
1995,zinc,scrap,RoW,China,15520.628000000002
1995,zinc,scrap,RoW,EU27,39233.2875
1995,zinc,scrap,RoW,RoW,191538.485
1996,nickel,concentrates,China,China,0.0
1996,nickel,concentrates,China,EU27,0.0
