mode,year,material,commodity,destination_region,origin_region,share_origin_frac
constrained,1995,nickel,concentrates,China,China,0.0
constrained,1995,nickel,concentrates,China,EU27,0.056417850729955504
constrained,1995,nickel,concentrates,China,RoW,0.9435821492700445
constrained,1995,nickel,concentrates,EU27,China,0.0
constrained,1995,nickel,concentrates,EU27,EU27,0.09360789547690058
constrained,1995,nickel,concentrates,EU27,RoW,0.9063921045230995
constrained,1995,nickel,concentrates,RoW,China,9.839905374234787e-05
constrained,1995,nickel,concentrates,RoW,EU27,0.0104315314309387
constrained,1995,nickel,concentrates,RoW,RoW,0.9894700695153189
constrained,1995,nickel,refined_metal,China,China,0.0
constrained,1995,nickel,refined_metal,China,EU27,0.029895668036034315
constrained,1995,nickel,refined_metal,China,RoW,0.9701043319639657
constrained,1995,nickel,refined_metal,EU27,China,0.00048284384748374133
constrained,1995,nickel,refined_metal,EU27,EU27,0.14207502209850156
constrained,1995,nickel,refined_metal,EU27,RoW,0.8574421340540147
constrained,1995,nickel,refined_metal,RoW,China,0.013577949246172746
constrained,1995,nickel,refined_metal,RoW,EU27,0.057780866892853944
constrained,1995,nickel,refined_metal,RoW,RoW,0.9286411838609734
constrained,1995,nickel,scrap,China,China,0.0
constrained,1995,nickel,scrap,China,EU27,0.0017587983889406755
constrained,1995,nickel,scrap,China,RoW,0.9982412016110593
constrained,1995,nickel,scrap,EU27,China,0.0004274219880391143
constrained,1995,nickel,scrap,EU27,EU27,0.6890054590780607
constrained,1995,nickel,scrap,EU27,RoW,0.3105671189339002
constrained,1995,nickel,scrap,RoW,China,0.014514065148475341
constrained,1995,nickel,scrap,RoW,EU27,0.15151456188115495
constrained,1995,nickel,scrap,RoW,RoW,0.8339713729703697
constrained,1995,tin,concentrates,China,China,0.0
constrained,1995,tin,concentrates,China,EU27,0.0
constrained,1995,tin,concentrates,China,RoW,1.0
constrained,1995,tin,concentrates,EU27,China,0.0
constrained,1995,tin,concentrates,EU27,EU27,0.1975921681759856
constrained,1995,tin,concentrates,EU27,RoW,0.8024078318240144
constrained,1995,tin,concentrates,RoW,China,0.017410333543207097
