year,material,commodity,origin_region,destination_region,weight_0_1
1995,nickel,concentrates,China,China,0.0
1995,nickel,concentrates,China,EU27,0.0
1995,nickel,concentrates,China,RoW,1.0
1995,nickel,concentrates,EU27,China,0.00010417746600625275
1995,nickel,concentrates,EU27,EU27,0.23088749603195538
1995,nickel,concentrates,EU27,RoW,0.7690083265020383
1995,nickel,concentrates,RoW,China,2.317556984468678e-05
1995,nickel,concentrates,RoW,EU27,0.029737023723054937
1995,nickel,concentrates,RoW,RoW,0.9702398007071004
1995,nickel,refined_metal,China,China,0.0
1995,nickel,refined_metal,China,EU27,0.019161900690387944
1995,nickel,refined_metal,China,RoW,0.9808380993096121
1995,nickel,refined_metal,EU27,China,0.000912615223423297
1995,nickel,refined_metal,EU27,EU27,0.5740948873909765
1995,nickel,refined_metal,EU27,RoW,0.4249924973856002
1995,nickel,refined_metal,RoW,China,0.002868261800746668
1995,nickel,refined_metal,RoW,EU27,0.3355765973893796
1995,nickel,refined_metal,RoW,RoW,0.6615551408098738
1995,nickel,scrap,China,China,0.0
1995,nickel,scrap,China,EU27,0.03312444945252681
1995,nickel,scrap,China,RoW,0.9668755505474732
1995,nickel,scrap,EU27,China,1.9763472734658873e-05
1995,nickel,scrap,EU27,EU27,0.8410079212986894
1995,nickel,scrap,EU27,RoW,0.1589723152285759
1995,nickel,scrap,RoW,China,0.008865076524836273
1995,nickel,scrap,RoW,EU27,0.29959371249793193
1995,nickel,scrap,RoW,RoW,0.6915412109772318
1995,tin,concentrates,China,China,0.0
1995,tin,concentrates,China,EU27,0.0
1995,tin,concentrates,China,RoW,1.0
1995,tin,concentrates,EU27,China,0.0
1995,tin,concentrates,EU27,EU27,0.0594162133290463
1995,tin,concentrates,EU27,RoW,0.9405837866709537
1995,tin,concentrates,RoW,China,0.0007293747125799007
1995,tin,concentrates,RoW,EU27,0.01692449161033335
1995,tin,concentrates,RoW,RoW,0.9823461336770868
1995,tin,refined_metal,China,China,0.0
1995,tin,refined_metal,China,EU27,0.3171547878634966
1995,tin,refined_metal,China,RoW,0.6828452121365034
1995,tin,refined_metal,EU27,China,0.0013604286096184715
1995,tin,refined_metal,EU27,EU27,0.757890477576522
1995,tin,refined_metal,EU27,RoW,0.2407490938138596
1995,tin,refined_metal,RoW,China,0.030779181453894446
1995,tin,refined_metal,RoW,EU27,0.17938691137023688
1995,tin,refined_metal,RoW,RoW,0.7898339071758687
1995,tin,scrap,China,China,0.0
1995,tin,scrap,China,EU27,0.022706114756703984
1995,tin,scrap,China,RoW,0.977293885243296
1995,tin,scrap,EU27,China,0.030064091821011517
1995,tin,scrap,EU27,EU27,0.8784976740477752
1995,tin,scrap,EU27,RoW,0.09143823413121333
1995,tin,scrap,RoW,China,0.0414895996706624
1995,tin,scrap,RoW,EU27,0.057434715937394236
1995,tin,scrap,RoW,RoW,0.9010756843919433
1995,zinc,concentrates,China,China,0.0
1995,zinc,concentrates,China,EU27,0.050784718110308213
1995,zinc,concentrates,China,RoW,0.9492152818896918
1995,zinc,concentrates,EU27,China,2.0416246951743064e-05
1995,zinc,concentrates,EU27,EU27,0.7682535123655031
1995,zinc,concentrates,EU27,RoW,0.2317260713875453
1995,zinc,concentrates,RoW,China,0.0175542905892575
1995,zinc,concentrates,RoW,EU27,0.4566332718680551
1995,zinc,concentrates,RoW,RoW,0.5258124375426875
1995,zinc,refined_metal,China,China,0.0
1995,zinc,refined_metal,China,EU27,0.03672775584542788
1995,zinc,refined_metal,China,RoW,0.9632722441545721
1995,zinc,refined_metal,EU27,China,0.00039731805253577415
1995,zinc,refined_metal,EU27,EU27,0.6733055000193575
1995,zinc,refined_metal,EU27,RoW,0.32629718192810675
1995,zinc,refined_metal,RoW,China,0.008031695871846822
1995,zinc,refined_metal,RoW,EU27,0.1685536559009377
1995,zinc,refined_metal,RoW,RoW,0.8234146482272156
1995,zinc,scrap,China,China,0.0
1995,zinc,scrap,China,EU27,0.003161933215001747
1995,zinc,scrap,China,RoW,0.9968380667849982
