variant,block,key,year,value,material,region,before
circularity_push,mfa_parameters,collection_rate,2020,0.9009,,,0.9009
circularity_push,mfa_parameters,collection_rate,2025,0.9100,,,
circularity_push,mfa_parameters,collection_rate,2030,0.9200,,,
circularity_push,mfa_parameters,collection_rate,2039,0.9250,,,
circularity_push,mfa_parameters,collection_rate,2100,0.9250,,,
circularity_push,strategy,recycling_yield,2020,0.8812,,,0.8812
circularity_push,strategy,recycling_yield,2025,0.8920,,,
circularity_push,strategy,recycling_yield,2030,0.9000,,,
circularity_push,strategy,recycling_yield,2039,0.9050,,,
circularity_push,strategy,recycling_yield,2100,0.9050,,,
circularity_push,strategy,reman_yield,2020,0.8352,,,0.8352
circularity_push,strategy,reman_yield,2025,0.8650,,,
circularity_push,strategy,reman_yield,2030,0.9000,,,
circularity_push,strategy,reman_yield,2039,0.9100,,,
circularity_push,strategy,reman_yield,2100,0.9100,,,
circularity_push,mfa_parameters,collection_rate,2020,0.9050,nickel,EU27,0.9050
circularity_push,mfa_parameters,collection_rate,2025,0.9250,nickel,EU27,
circularity_push,mfa_parameters,collection_rate,2030,0.9400,nickel,EU27,
circularity_push,mfa_parameters,collection_rate,2039,0.9500,nickel,EU27,
circularity_push,mfa_parameters,collection_rate,2100,0.9500,nickel,EU27,
circularity_push,strategy,recycling_rate,2020,0.5500,nickel,EU27,0.5500
circularity_push,strategy,recycling_rate,2025,0.5800,nickel,EU27,
circularity_push,strategy,recycling_rate,2030,0.6200,nickel,EU27,
circularity_push,strategy,recycling_rate,2039,0.6400,nickel,EU27,
circularity_push,strategy,recycling_rate,2100,0.6400,nickel,EU27,
circularity_push,strategy,remanufacturing_rate,2020,0.2000,nickel,EU27,0.2000
circularity_push,strategy,remanufacturing_rate,2025,0.2200,nickel,EU27,
circularity_push,strategy,remanufacturing_rate,2030,0.2500,nickel,EU27,
circularity_push,strategy,remanufacturing_rate,2039,0.2700,nickel,EU27,
circularity_push,strategy,remanufacturing_rate,2100,0.2700,nickel,EU27,
circularity_push,strategy,disposal_rate,2020,0.2500,nickel,EU27,0.2500
circularity_push,strategy,disposal_rate,2025,0.2000,nickel,EU27,
circularity_push,strategy,disposal_rate,2030,0.1300,nickel,EU27,
circularity_push,strategy,disposal_rate,2039,0.0900,nickel,EU27,
circularity_push,strategy,disposal_rate,2100,0.0900,nickel,EU27,
