variant,block,key,year,value,material,region,before
r_portfolio_combined,demand_transformation,efficiency_improvement,2025,0.03,,,
r_portfolio_combined,demand_transformation,efficiency_improvement,2035,0.06999999999999999,,,
r_portfolio_combined,demand_transformation,efficiency_improvement,2050,0.1,,,
r_portfolio_combined,demand_transformation,efficiency_improvement,2100,0.1,,,
r_portfolio_combined,demand_transformation,efficiency_improvement,2025,0.036,,EU27,
r_portfolio_combined,demand_transformation,efficiency_improvement,2035,0.08399999999999999,,EU27,
r_portfolio_combined,demand_transformation,efficiency_improvement,2050,0.12,,EU27,
r_portfolio_combined,demand_transformation,efficiency_improvement,2100,0.12,,EU27,
r_portfolio_combined,demand_transformation,efficiency_improvement,2025,0.025500000000000002,,RoW,
r_portfolio_combined,demand_transformation,efficiency_improvement,2035,0.0595,,RoW,
r_portfolio_combined,demand_transformation,efficiency_improvement,2050,0.085,,RoW,
r_portfolio_combined,demand_transformation,efficiency_improvement,2100,0.085,,RoW,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2025,0.964,,,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2035,0.916,,,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2050,0.88,,,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2100,0.88,,,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2025,0.952,,EU27,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2035,0.888,,EU27,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2050,0.84,,EU27,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2100,0.84,,EU27,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2025,0.97,,RoW,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2035,0.93,,RoW,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2050,0.9,,RoW,
r_portfolio_combined,demand_transformation,material_intensity_multiplier,2100,0.9,,RoW,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2025,1.075,,,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2035,1.175,,,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2050,1.25,,,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2100,1.25,,,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2025,1.066,,China,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2035,1.154,,China,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2050,1.22,,China,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2100,1.22,,China,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2025,1.081,,EU27,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2035,1.189,,EU27,
r_portfolio_combined,demand_transformation,service_activity_multiplier,2050,1.27,,EU27,
